Index,,,,"Code: EA043 Descent: major type (0=NonFemale Based, 1=Female Based)","Code: EA012 Marital residence with kin: prevailing pattern (0=non female based, 1=Female based)","Code: EA015 Community marriage organization (1=Exogamous, 2=Agamous, 3=Endogamous)",pop_name,language,ID,phoible_id,phoible_id_preferred,ruhlen_id,ruhlen_id_preferred,longitude,latitude
59,Iraqw,Ca4,xd448,0,0,NA,Iraqw,Iraqw,Iraqw,,,1547,1547,35,4
60,,,,,,,Irula,Irula,Irula,,,2046,2046,80,13
61,Itelmen,ec13,xd621,0,0,2,Itelman,Alyutor,Itelman,,,2006,2006,164,58
62,Japanese,Ed5,xd648,0,0,1,Japanese,Japanese,JPT,197;384;2196,2196,1997,1997,138,36
63,Jordanians,Cj6,xd592,0,0,2,Jordanian,Arabic (Syrian),Jordanian,,,1569,1569,36,33
64,Annamese,Ej4,xd726,0,0,3,Kinh (Ho Chi Minh City),Vietnamese,KHV,15;605,605,2430,2430,108,12
65,Sara,Ai22,xd351,0,0,1,Kaba,Sara,Kaba,,,1284,1284,20,10
66,Telugu,Eg10,xd673,0,0,2,Kapu,Telugu,Kapu,,,2035,2035,80,16
67,,,,,,,Karitiana,Karitiana,Karitiana,1076;2091,1076,5314,5314,-63,-11
68,Kikuyu,Ad4,xd109,0,0,1,Kikuyu,Kikuyu,Kikuyu,,,933,933,37,-1
69,Bakongo,Ac14,xd38,1,1,1,Kongo,Kongo,Kongo,,,999,999,15,-5
70,Koreans,Ed1,xd638,0,0,1,Korean,Korean,Korean,,,1996,1996,128,36
71,,,,,,,Kusunda,Kusunda,Kusunda,,,3593,3593,81,29
72,,,,,,,Kyrgyz,Kyrgyz,Kyrgyz,,,1955,1955,74,41
73,Vugusu,Ad41,xd111,0,0,1,Luhya,Lubukusu,LWK,1201,1201,1025,1025,35,0
74,,,,,,,Lahu,Lahu,Lahu,23;443;2319,443,2346,2346,102,22
75,Laka,Ai13,xd341,0,0,NA,Laka,Laka,Laka,,,1280,1280,11,9
76,,,,,,,Lemande,Mandi,Lemande,,,994,994,34,-10
77,,,,,,,Lezgin,Lezgi,Lezgin,,,1630;1631,1631,48,42
78,Mende,Af5,xd230,0,0,3,Mende,Mende,MSL,784,784,97,97,-12,8
79,,,,,,,Mada,Eggon,Mada,,,622,622,9,9
80,,,,,,,Madiga,Madiga,Madiga,,,2035;2040,2040,80,17
81,Marri,Ea10,xd597,0,0,1,Makrani,Southern Balochi,Makrani,2545,2545,1770,1770,63,25
82,Mansi,ec15,xd623,0,0,1,Mansi,Mansi,Mansi,,,1903,1903,62,62
83,Maasi,Aj2,xd395,0,0,2,Masai,Maasai,Masai,,,1250,1250,36,-2
84,K'iche',Sa13,xd1313,0,0,3,Maya,K’iche’,Maya,1154,1154,4892,4892,-90,16
85,Mbuti,Aa5,xd5,0,0,1,Mbuti,Efe(Mamvu),Mbuti,1251,1251,1304,1304,30,2
86,Miao,Ed4,xd647,0,0,3,Miao,Hmong,Miao,2239,2239,2357,2357,101,21
87,Mixe,Nj7,xd1306,0,0,3,Mixe,Mixe,Mixe,,,4859,4859,-96,17
88,Mixtec,Nj12,xd1298,0,NA,NA,Mixtec,Mixtec,Mixtec,,,5018,5018,-98,18
89,Khalka,Eb3,xd611,0,0,2,Mongolian,Khalkha,Mongolian,191;405,191,1975,1975,105,47
90,Mzab,Cc4,xd501,0,0,3,Mozabite,Mzab,Mozabite,900,900,1333,1333,4,32
91,Suri,Aj20,xd396,0,0,2,Mursi,Mursi,Mursi,,,1201,1201,35,6
92,,,,,,,Naxi,Naxi,Naxi,485,485,2324,2324,100,28
93,,,,,,,Ngumba,Ngumba,Ngumba,,,805,805,10,2
94,,,,,,,Ogiek,Ogiek,Ogiek,,,1266,1266,36,0
95,,,,,,,Onge,Onge,Onge,,,3606,3606,93,13
96,,,,,,,Orcadian,Scots,Orcadian,2505,2505,1868,1868,-3,59
97,Evenk,ec16,xd624,0,0,1,Oroqen,Oroqen,Oroqen,2292,2292,1980,1980,125,51
98,,,,,,,Peruvian,Cusco Spanish,PEL,2024,2024,1831,1831,-77,-12
99,Punjabi,Ea13,xd600,0,0,3,Punjabi,Punjabi,PJL,175;1780;2479,2479,1692;1695,1695,74,31
100,Jordanians,Cj6,xd592,0,0,2,Palestinian,S. Lev. Arabic,Palestinian,132;231,132,1568,1568,35,32
101,,,,,,,PapuanHighlands,Waghi,PapuanHighlands,610,610,3714,3714,144,-6
102,,,,,,,PapuanSepik,Abulas,PapuanSepik,1159,1159,4258,4258,142,-4
103,Yusufzai,Ea2,xd601,0,0,2,Pathan,Pashto,Pathan,173;521,173,1739;1740,1739,68,31
104,Pima,Ni6,xd1291,0,0,2,Pima,O’odham,Pima,96;509,96,4970,4970,-112,33
105,Quechan,Nh22,xd1273,0,0,1,Quechua,Quechua,Quechua,,,5148,5148,-72,-14
106,,,,,,,Relli,Reli,Relli,,,1720,1720,83,18
107,,,,,,,Rendille,Rendille,Rendille,,,1536,1536,37,2
108,Russians,Ch11,xd548,0,0,2,Russian,Russian,Russian,166;530;2261,116,1875,1875,34,55
109,Tamil,Eg2,xd678,0,0,2,Tamil,Tamil,STU,1058;1788;2611,2611,2050,2050,80,9
110,Sami,Cg4,xd544,0,0,1,Saami,Saami,Saami,,,1911;1912;1913;1914,1911,21,68
111,,,,,,,Saharawi,Saharawi,Saharawi,,,1567,1567,-11,20
112,!Kung,Aa1,xd1,0,0,1,San,Nama,San,115;382,115,11,11,19,-29
113,Sandawe,Aa6,xd6,0,0,1,Sandawe,Sandawe,Sandawe,,,2,2,35,-5
114,,,,,,,Sardinian,Sardinian,Sardinian,2546,2546,1803,1803,9,40
115,,,,,,,Sengwer,Markweeta,Sengwer,,,1266,1266,36,1
116,Sherpa,Ee6,xd658,0,0,2,Sherpa,Sherpa,Sherpa,,,2127,2127,86,28
117,Sindhi,Ea1,xd596,0,0,3,Sindhi,Sindhi,Sindhi,1148;1786,1786,1690;1691,1690,68,25
118,,,,,,,Surui,Paiter,Surui,2103,2103,5271,5271,-61,-11
119,Neapolitans,Ce5,xd532,0,0,3,Tuscan,Italian,TSI,1145;2195;2427,2427,1809,1809,11,44
120,Thai,Ej9,xd731,0,0,2,Thai,Thai,Thai,,,2579,2579,101,15
121,Tibetans,Ee4,xd656,0,0,2,Tibetan,Tibetan,Tibetan,,,2125;2126,2125,86,30
122,Tlingit,Nb22,xd1082,1,1,1,Tlingit,Tlingit,Tlingit,,,4640,4640,-136,59
